[05-Jan-2023 18:44:25 +0530]: <0e2f566b> DB Error: [1] no such table: carddav_migrations (SQL Query: SELECT "filename" FROM carddav_migrations) in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?login=1&post_login=10892459166695)
[05-Jan-2023 18:45:02 +0530]: <0e2f566b> DB Error: [1] no such table: collected_addresses (SQL Query: SELECT * FROM "collected_addresses" WHERE "user_id" = '1' AND "type" = '1' AND ("email" LIKE 'elizatriper@organicwebsolution.com') ORDER BY "name" ASC, "email" ASC LIMIT 10) in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (GET /cpsess3134909493/3rdparty/roundcube/index.php?_task=addressbook&_action=photo&_email=elizatriper%40organicwebsolution.com&_error=1)
[05-Jan-2023 19:02:37 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:03:37 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:04:39 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:05:40 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:06:41 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:07:42 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:08:43 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:09:44 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:10:45 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:11:46 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:12:46 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:13:46 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:14:45 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:15:46 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:16:46 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:17:46 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:18:46 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
[05-Jan-2023 19:19:46 +0530]: <0e2f566b> DB Error: [1] no such table: calendars (SQL Query: SELECT *, "calendar_id" AS id FROM "calendars" WHERE "user_id" = '1' ORDER BY "name") in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_db.php on line 566 (POST /cpsess3134909493/3rdparty/roundcube/index.php?_task=mail&_action=refresh)
